# Output from hector version 1.1
year,run_name,spinup,component,variable,value,units
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,SF6_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,SF6_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC11_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC11_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC12_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC12_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC113_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC113_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC114_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC114_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC115_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC115_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CCl4_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CCl4_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3CCl3_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3CCl3_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF22_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF22_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF141b_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF141b_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF142b_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF142b_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1211_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1211_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1301_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1301_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon2402_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon2402_halocarbon,hc_concentration,0,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Br_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Br_halocarbon,hc_concentration,5.8,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Cl_halocarbon,hc_emission,0,Gg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Cl_halocarbon,hc_concentration,504,pptv
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,atm_ocean_flux_HL,1,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,atm_ocean_flux_LL,-1,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_DO,25975.7,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_HL,140.365,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_IO,8411.29,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_LL,782.658,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,DIC_HL,2107.42,umol/kg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,DIC_LL,2073.66,umol/kg
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,HL_DO_Cflux,99.2495,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,atm_ocean_flux,0,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaAr_HL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaAr_LL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaCa_HL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaCa_LL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,PCO2_HL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,PCO2_LL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,pH_HL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,pH_LL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,Temp_HL,2,degC
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,Temp_LL,22,degC
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,ocean_c,35310,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,CO3_HL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,CO3_LL,0,(undefined)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,ocean_timesteps,1,(unitless)
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,atm_land_flux,-0.241357,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,anthroEmissions,0.003,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,lucEmissions,0,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,npp,50,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,rh,50.2414,Pg C/yr
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,Ca,279.568,ppmv CO2
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,atmos_c,595.723,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,atmos_c_residual,0,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,veg_c,510.062,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,detritus_c,55.8941,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,soil_c,1813.39,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,earth_c,0,Pg C
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,temp_doeclim,Tgav,0,degC
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,temp_doeclim,flux_mixed,0,W/m2
45,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,temp_doeclim,flux_interior,0,W/m2
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,OH,TAU_OH,6.6,Years
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH4,CH4,653,ppbv CH4
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ozone,O3,30,DU O3
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,bc,BC_emissions,0,Tg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,oc,OC_emissions,0,Tg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,N2O,N2O,272.96,ppbv N2O
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CF4_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CF4_halocarbon,hc_concentration,35,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,C2F6_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,C2F6_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC23_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC23_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC32_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC32_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC4310_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC4310_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC125_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC125_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC134a_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC134a_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC143a_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC143a_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC227ea_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC227ea_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC245fa_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC245fa_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,SF6_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,SF6_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC11_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC11_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC12_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC12_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC113_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC113_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC114_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC114_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC115_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC115_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CCl4_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CCl4_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3CCl3_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3CCl3_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF22_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF22_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF141b_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF141b_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF142b_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF142b_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1211_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1211_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1301_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1301_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon2402_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon2402_halocarbon,hc_concentration,0,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Br_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Br_halocarbon,hc_concentration,5.8,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Cl_halocarbon,hc_emission,0,Gg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3Cl_halocarbon,hc_concentration,504,pptv
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,atm_ocean_flux_HL,1,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,atm_ocean_flux_LL,-1,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_DO,25975.6,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_HL,140.369,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_IO,8411.36,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,carbon_LL,782.682,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,DIC_HL,2107.48,umol/kg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,DIC_LL,2073.72,umol/kg
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,HL_DO_Cflux,99.2523,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,atm_ocean_flux,0,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaAr_HL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaAr_LL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaCa_HL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,OmegaCa_LL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,PCO2_HL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,PCO2_LL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,pH_HL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,pH_LL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,Temp_HL,2,degC
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,Temp_LL,22,degC
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,ocean_c,35310,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,CO3_HL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,CO3_LL,0,(undefined)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ocean,ocean_timesteps,1,(unitless)
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,atm_land_flux,-0.240164,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,anthroEmissions,0.003,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,lucEmissions,0,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,npp,50,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,rh,50.2402,Pg C/yr
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,Ca,279.682,ppmv CO2
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,atmos_c,595.964,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,atmos_c_residual,0,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,veg_c,509.71,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,detritus_c,55.8792,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,soil_c,1813.52,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,simpleNbox,earth_c,0,Pg C
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,temp_doeclim,Tgav,0,degC
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,temp_doeclim,flux_mixed,0,W/m2
46,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,temp_doeclim,flux_interior,0,W/m2
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,OH,TAU_OH,6.6,Years
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH4,CH4,653,ppbv CH4
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ozone,O3,30,DU O3
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,bc,BC_emissions,0,Tg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,oc,OC_emissions,0,Tg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,N2O,N2O,272.96,ppbv N2O
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CF4_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CF4_halocarbon,hc_concentration,35,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,C2F6_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,C2F6_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC23_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC23_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC32_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC32_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC4310_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC4310_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC125_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC125_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC134a_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC134a_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC143a_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC143a_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC227ea_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC227ea_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC245fa_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC245fa_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,SF6_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,SF6_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC11_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC11_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC12_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC12_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC113_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC113_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC114_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC114_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC115_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CFC115_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CCl4_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CCl4_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3CCl3_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CH3CCl3_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF22_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF22_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF141b_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF141b_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF142b_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HCF142b_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1211_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1211_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1301_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon1301_halocarbon,hc_concentration,0,pptv
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon2402_halocarbon,hc_emission,0,Gg
47,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,halon2402_halocarbon,hc_concentration,0,pptv
